country_name,elo
England,2075
Germany,1940
Italy,1931
Spain,1918
Portugal,1866
Brazil,1823
France,1794
Netherlands,1775
Austria,1752
Serbia,1751
Estonia,1730
Ukraine,1725
Czech Republic,1719
Argentina,1709
Egypt,1708
Scotland,1699
Ecuador,1689
Russia,1685
Colombia,1675
Wales,1671
Bulgaria,1668
Saudi Arabia,1668
Croatia,1663
Greece,1662
South Africa,1662
Turkey,1658
Moldova,1648
Mexico,1648
Switzerland,1630
Belarus,1624
South Korea,1622
Morocco,1619
Belgium,1619
Iran,1617
Uruguay,1616
Israel,1609
Azerbaijan,1608
Japan,1605
Bolivia,1602
Norway,1602
New Zealand,1597
Slovakia,1596
Congo DR,1585
Ireland,1585
Qatar,1583
Romania,1575
Denmark,1574
Paraguay,1573
Cyprus,1564
Kazakhstan,1553
Thailand,1552
Peru,1552
Tunisia,1547
China PR,1546
Honduras,1544
Hungary,1542
Algeria,1537
Finland,1537
Poland,1536
Costa Rica,1534
Sudan,1529
Sweden,1528
United Arab Emirates,1527
United States,1524
Slovenia,1521
Lithuania,1521
Bosnia and Herzegovina,1520
Uzbekistan,1515
Angola,1512
Chile,1509
Guatemala,1498
Ivory Coast,1492
Mali,1490
Zimbabwe,1485
Nigeria,1478
Cameroon,1465
Montenegro,1461
El Salvador,1457
Georgia,1455
Lebanon,1450
Luxembourg,1450
Northern Ireland,1440
Jordan,1435
Latvia,1435
India,1430
Australia,1424
Venezuela,1419
Ghana,1416
Puerto Rico,1405
Zambia,1402
Nicaragua,1401
Trinidad and Tobago,1381
Canada,1379
Indonesia,1378
Tanzania,1367
Libya,1367
Panama,1364
Papua New Guinea,1364
Macedonia,1352
Jamaica,1346
New Caledonia,1334
Congo,1328
Niger,1315
Guinea,1315
Vanuatu,1308
Fiji,1303
Kenya,1302
Malaysia,1300
Hong Kong,1291
Solomon Islands,1289
Iraq,1287
Albania,1284
Tahiti,1278
Tajikistan,1277
Mozambique,1272
Haiti,1271
Ethiopia,1268
Armenia,1267
Singapore,1267
Togo,1264
Vietnam,1262
Senegal,1255
Botswana,1255
Malta,1251
Burundi,1250
Turkmenistan,1250
Gibraltar,1249
Kuwait,1248
Belize,1247
Iceland,1247
Uganda,1246
Cook Islands,1235
Guyana,1219
Samoa,1180
